user_id,Recency,frequency,monetory,cluster
1.5159156254419356e+18,4,2,532.13,0
1.5159156254573816e+18,4,1,115.72,0
1.5159156254493947e+18,4,1,115.72,0
1.515915625449857e+18,4,2,807.78,0
1.5159156254554235e+18,4,4,891.12,0
1.5159156254575375e+18,4,4,175.34,0
1.5159156254505677e+18,4,4,629.6600000000001,0
1.515915625455391e+18,4,1,740.72,0
1.5159156254575698e+18,4,1,381.9,0
1.515915625441981e+18,4,9,1817.6200000000003,0
1.515915625441521e+18,4,3,1395.53,0
1.515915625452972e+18,4,1,6.92,0
1.5159156254572183e+18,4,1,462.94,0
1.515915625442669e+18,4,1,50.9,0
1.515915625448378e+18,4,2,192.78,0
1.5159156254466253e+18,4,1,393.5,0
1.5159156254576973e+18,4,2,180.51,0
1.5159156254476552e+18,4,15,4159.269999999999,0
1.5159156254527114e+18,4,4,175.81,0
1.5159156254554255e+18,4,4,225.36,0
1.515915625457926e+18,4,1,7.85,0
1.515915625457945e+18,4,1,18.5,0
1.5159156254579436e+18,4,2,1136.48,0
1.5159156254493376e+18,4,1,236.09,0
1.5159156254414602e+18,4,2,180.51,0
1.515915625446709e+18,4,1,33.54,0
1.5159156254410253e+18,4,10,1758.81,0
1.5159156254557166e+18,4,1,33.989999999999995,0
1.515915625456084e+18,4,1,254.61,0
1.5159156254580037e+18,4,5,2635.77,0
1.51591562545673e+18,4,1,92.57,0
1.515915625458001e+18,4,3,650.84,0
1.515915625455665e+18,4,2,436.28,0
1.5159156254419768e+18,4,2,569.37,0
1.5159156254580362e+18,4,2,52.04,0
1.515915625458042e+18,4,7,2764.7800000000007,0
1.515915625452663e+18,4,3,841.28,0
1.5159156254579177e+18,4,1,532.38,0
1.5159156254861768e+18,4,2,43.92,0
1.5159156254439583e+18,4,1,13.87,0
1.5159156254580524e+18,4,2,185.14,0
1.5159156254520742e+18,4,5,1093.16,0
1.515915625457135e+18,4,4,1174.14,0
1.5159156254580785e+18,4,1,17.78,0
1.515915625458075e+18,4,2,810.14,0
1.5159156254580844e+18,4,2,142.32,0
1.5159156254576215e+18,4,9,1471.9899999999998,0
1.5159156254561083e+18,4,1,127.29,0
1.515915625444117e+18,4,8,2142.52,0
1.5159156254441375e+18,4,6,1226.72,0
1.5159156254579633e+18,4,1,90.25,0
1.5159156254431444e+18,4,11,1589.54,0
1.5159156254449946e+18,4,8,1314.38,0
1.5159156254442565e+18,4,1,161.78,0
1.5159156254577562e+18,4,2,912.92,0
1.515915625458228e+18,4,1,19.65,0
1.5159156254582876e+18,4,1,101.83,0
1.5159156254582917e+18,4,4,937.13,0
1.5159156254583468e+18,4,1,300.9,0
1.5159156254583544e+18,4,1,10.86,0
1.5159156254502548e+18,4,11,3198.36,0
1.5159156254428703e+18,4,4,421.19,0
1.5159156254584108e+18,4,2,38.56,0
1.515915625449326e+18,4,1,231.23,0
1.515915625458474e+18,4,3,988.36,0
1.515915625441146e+18,4,2,93.7,0
1.515915625458505e+18,4,4,371.42,0
1.5159156254555845e+18,4,1,150.44,0
1.515915625458518e+18,4,2,147.83999999999995,0
1.5159156254416087e+18,4,7,128.18,0
1.5159156254480197e+18,4,1,19.65,0
1.5159156254480543e+18,4,12,8203.91,0
1.515915625458589e+18,4,1,104.14,0
1.5159156254586158e+18,4,1,18.5,0
1.5159156254499282e+18,4,1,247.64,0
1.515915625453748e+18,4,2,24.26,0
1.5159156254564795e+18,4,3,353.17,0
1.5159156254419297e+18,4,5,300.76,0
